COUNTRY,CITY,LOCATION,PARAMETER
IN,Jodhpur,Collectorate Jodhpur - RSPCB,co
IN,Jodhpur,Collectorate Jodhpur - RSPCB,pm10
IN,Kota,"Shrinath Puram, Kota- RSPCB",so2
IN,Kota,"Shrinath Puram, Kota- RSPCB",no2
IN,Kota,"Shrinath Puram, Kota- RSPCB",o3
IN,Kota,"Shrinath Puram, Kota- RSPCB",pm25
IN,Kota,"Shrinath Puram, Kota- RSPCB",co
IN,Kota,"Shrinath Puram, Kota- RSPCB",pm10
IN,Udaipur,"Ashok Nagar, Udaipur- RSPCB",so2
IN,Udaipur,"Ashok Nagar, Udaipur- RSPCB",no2
IN,Udaipur,"Ashok Nagar, Udaipur- RSPCB",o3
IN,Udaipur,"Ashok Nagar, Udaipur- RSPCB",pm25
IN,Udaipur,"Ashok Nagar, Udaipur- RSPCB",co
IN,Udaipur,"Ashok Nagar, Udaipur- RSPCB",pm10
IN,Chennai,IIT,so2
IN,Chennai,IIT,no2
IN,Chennai,IIT,o3
IN,Chennai,IIT,pm25
IN,Chennai,IIT,co
IN,Chennai,IIT,pm10
IN,Chennai,Manali,so2
IN,Chennai,Manali,no2
IN,Chennai,Manali,o3
IN,Chennai,Manali,pm25
IN,Chennai,Manali,co
IN,Chennai,Manali,pm10
IN,Lucknow,Talkatora District Industries Center,so2
IN,Lucknow,Talkatora District Industries Center,no2
IN,Lucknow,Talkatora District Industries Center,o3
IN,Lucknow,Talkatora District Industries Center,pm25
IN,Lucknow,Talkatora District Industries Center,co
IN,Lucknow,Talkatora District Industries Center,pm10
IN,Lucknow,"Nishant Ganj, Lucknow - UPPCB",so2
IN,Lucknow,"Nishant Ganj, Lucknow - UPPCB",no2
IN,Lucknow,"Nishant Ganj, Lucknow - UPPCB",o3
IN,Lucknow,"Nishant Ganj, Lucknow - UPPCB",pm25
IN,Lucknow,"Nishant Ganj, Lucknow - UPPCB",co
IN,Lucknow,"Nishant Ganj, Lucknow - UPPCB",pm10
